Modele,P&L brut (EUR/MW),P&L net (EUR/MW),"Sharpe net (daily,sqrt365)",Max Drawdown (EUR/MW),Calmar,Win Rate (%),Profit Factor,Heures actives,Actif (%),Cost Drag (%)
Naif lag-168h,87935.91,85481.91,10.53,2367.47,36.61,61.99,2.66,8180,94.94,2.79
RF sans meteo,139149.52,136883.62,19.44,432.9,320.59,74.55,7.07,7553,87.66,1.63
RF avec meteo,138971.4,136710.6,19.46,422.26,328.26,74.56,7.09,7536,87.47,1.63
XGBoost,144402.89,142011.89,18.78,1350.55,106.61,74.94,7.13,7970,92.5,1.66
Long-only,-76.02,-76.02,-0.01,4521.41,-0.02,48.22,1.0,8616,100.0,0.0
